target_r,target_z,ee_pitch_deg,solution_idx,j2_deg,j3_deg,j4_deg,ee_r_m,ee_z_m,tau_j2,tau_j3,tau_j4,tau_max,tip_worst_margin,tip_worst_j1_deg,tip_stable_all,tip_n_stable,tip_n_total
0.05,-0.23194,-30.0,0,-163.638,154.653,-21.015,0.05,-0.23194,2.755,-4.7058,-0.4357,4.7058,0.06846,90,True,24,24
0.05,0.46823,0.0,0,46.602,109.477,-156.079,0.05,0.46823,-1.8938,3.4486,-0.5031,3.4486,0.07228,90,True,24,24
0.05,0.81832,90.0,1,112.05,-55.879,33.829,0.05,0.81832,0.5124,-2.4067,-0.0,2.4067,0.07841,90,True,24,24
0.07918,0.42933,60.0,0,27.674,130.638,-98.312,0.07918,0.42933,-3.1207,3.7655,-0.2516,3.7655,0.06683,90,True,24,24
0.07918,0.77942,60.0,0,58.155,63.412,-61.567,0.07918,0.77942,-2.0911,2.0115,-0.2516,2.0911,0.0714,90,True,24,24
0.10835,0.39043,60.0,1,138.442,-136.035,57.593,0.10835,0.39043,1.2476,-4.5708,-0.2516,4.5708,0.07515,90,True,24,24
0.10835,0.74052,30.0,0,58.57,63.946,-92.516,0.10835,0.74052,-2.1666,1.8881,-0.4357,2.1666,0.07107,90,True,24,24
0.13753,0.35154,60.0,0,11.362,140.704,-92.066,0.13753,0.35154,-4.0555,3.5678,-0.2516,4.0555,0.06269,90,True,24,24
0.13753,0.70162,-30.0,1,106.752,-43.927,-92.826,0.13753,0.70162,-0.1688,-2.4101,-0.4357,2.4101,0.07993,90,True,24,24
0.16671,0.31264,60.0,1,123.903,-144.452,80.55,0.16671,0.31264,0.0376,-4.2996,-0.2516,4.2996,0.08052,90,True,24,24
0.16671,0.66272,30.0,0,45.034,81.43,-96.463,0.16671,0.66272,-3.3615,2.1335,-0.4357,3.3615,0.06577,90,True,24,24
0.19588,0.31264,-60.0,1,122.821,-117.134,-65.687,0.19588,0.31264,-0.3388,-4.5534,-0.2516,4.5534,0.07918,90,True,24,24
0.19588,0.62382,60.0,0,31.647,94.086,-65.733,0.19588,0.62382,-4.3463,2.2732,-0.2516,4.3463,0.0614,90,True,24,24
0.22506,0.27374,0.0,1,125.264,-137.204,11.94,0.22506,0.27374,-0.2434,-4.7327,-0.5031,4.7327,0.0796,90,True,24,24
0.22506,0.62382,0.0,0,43.053,77.22,-120.273,0.22506,0.62382,-4.0057,1.6762,-0.5031,4.0057,0.06291,90,True,24,24
0.25423,0.27374,-90.0,1,106.808,-112.535,-84.274,0.25423,0.27374,-2.053,-4.3015,-0.0,4.3015,0.07157,90,True,24,24
0.25423,0.58493,90.0,0,18.303,95.822,-24.124,0.25423,0.58493,-5.6154,1.7669,-0.0,5.6154,0.05576,90,True,24,24
0.28341,0.23484,-30.0,0,-1.769,130.076,-158.307,0.28341,0.23484,-5.5279,2.244,-0.4357,5.5279,0.05615,90,True,24,24
0.28341,0.58493,30.0,1,111.946,-91.416,9.47,0.28341,0.58493,-1.5782,-4.4843,-0.4357,4.4843,0.07368,90,True,24,24
0.31259,0.23484,0.0,1,106.931,-134.825,27.894,0.31259,0.23484,-2.0595,-4.324,-0.5031,4.324,0.07154,90,True,24,24
0.31259,0.58493,45.0,0,22.649,91.811,-69.46,0.31259,0.58493,-5.7418,1.4342,-0.3558,5.7418,0.0552,90,True,24,24
0.34176,0.23484,60.0,1,85.173,-133.236,108.063,0.34176,0.23484,-3.7951,-3.1408,-0.2516,3.7951,0.06384,90,True,24,24
0.34176,0.58493,90.0,0,14.751,86.726,-11.477,0.34176,0.58493,-6.6593,0.8602,-0.0,6.6593,0.05113,90,True,24,24
0.37094,0.27374,45.0,1,90.629,-127.739,82.11,0.37094,0.27374,-3.718,-3.8033,-0.3558,3.8033,0.06418,90,True,24,24
0.37094,0.62382,30.0,1,99.15,-76.501,7.351,0.37094,0.62382,-3.1889,-4.4254,-0.4357,4.4254,0.06653,90,True,24,24
0.40012,0.35154,-45.0,0,7.413,97.79,-150.204,0.40012,0.35154,-6.9327,0.778,-0.3558,6.9327,0.04992,90,True,24,24
0.40012,0.66272,60.0,1,90.511,-68.474,37.963,0.40012,0.66272,-4.1895,-4.2588,-0.2516,4.2588,0.06209,90,True,24,24
0.42929,0.42933,-90.0,1,81.654,-65.859,-105.795,0.42929,0.42933,-5.2885,-4.1599,-0.0,5.2885,0.05722,90,True,24,24
0.42929,0.77942,45.0,1,75.168,-25.564,-4.604,0.42929,0.77942,-5.1479,-3.1574,-0.3558,5.1479,0.05784,90,True,24,24
0.45847,0.42933,90.0,1,78.047,-92.441,104.393,0.45847,0.42933,-5.7978,-4.1874,-0.0,5.7978,0.05496,90,True,24,24
0.48764,0.00145,-30.0,1,61.621,-120.938,29.316,0.48764,0.00145,-6.3375,-2.6418,-0.4357,6.3375,0.05256,90,True,24,24
0.48764,0.46823,90.0,1,75.233,-82.912,97.679,0.48764,0.46823,-6.2663,-4.2843,-0.0,6.2663,0.05288,90,True,24,24
0.51682,0.07925,-45.0,1,68.522,-109.675,-3.847,0.51682,0.07925,-6.4579,-3.6109,-0.3558,6.4579,0.05203,90,True,24,24
0.51682,0.50713,45.0,0,7.271,80.224,-42.495,0.51682,0.50713,-8.2579,-0.5447,-0.3558,8.2579,0.04404,90,True,24,24
0.546,0.11815,-90.0,1,62.216,-87.424,-64.792,0.546,0.11815,-7.536,-3.9114,-0.0,7.536,0.04724,90,True,24,24
0.546,0.54603,-45.0,0,36.913,33.311,-115.224,0.546,0.54603,-8.0355,-1.8185,-0.3558,8.0355,0.04503,90,True,24,24
0.57517,0.15704,-60.0,1,66.211,-89.409,-36.802,0.57517,0.15704,-7.3617,-4.2251,-0.2516,7.3617,0.04802,90,True,24,24
0.57517,0.54603,60.0,1,70.105,-62.259,52.154,0.57517,0.54603,-7.1802,-4.5342,-0.2516,7.1802,0.04882,90,True,24,24
0.60435,0.23484,-60.0,1,65.502,-76.104,-49.398,0.60435,0.23484,-7.7252,-4.5009,-0.2516,7.7252,0.0464,90,True,24,24
0.60435,0.62382,60.0,1,61.485,-37.246,35.761,0.60435,0.62382,-7.9056,-4.1935,-0.2516,7.9056,0.0456,90,True,24,24
0.63353,0.31264,0.0,1,68.078,-81.422,13.345,0.63353,0.31264,-7.6126,-4.7095,-0.5031,7.6126,0.0469,90,True,24,24
0.6627,-0.07635,30.0,1,27.813,-87.413,89.6,0.6627,-0.07635,-9.5008,-2.6233,-0.4357,9.5008,0.03852,90,True,24,24
0.6627,0.42933,-30.0,1,61.284,-45.844,-45.441,0.6627,0.42933,-8.3387,-4.6028,-0.4357,8.3387,0.04368,90,True,24,24
0.69188,0.11815,60.0,1,37.843,-75.878,98.035,0.69188,0.11815,-9.797,-3.6566,-0.2516,9.797,0.03721,90,True,24,24
0.72105,-0.23194,-30.0,1,17.408,-71.946,24.538,0.72105,-0.23194,-10.3634,-2.9438,-0.4357,10.3634,0.0347,90,True,24,24
0.72105,0.35154,-30.0,1,53.639,-45.399,-38.24,0.72105,0.35154,-9.3241,-4.7142,-0.4357,9.3241,0.03931,90,True,24,24
0.75023,0.11815,60.0,1,30.953,-61.202,90.249,0.75023,0.11815,-10.6544,-3.986,-0.2516,10.6544,0.0334,90,True,24,24
0.77941,-0.03745,-60.0,1,28.3,-52.168,-36.131,0.77941,-0.03745,-11.0513,-4.2049,-0.2516,11.0513,0.03164,90,True,24,24
0.80858,-0.15414,-90.0,1,0.513,-9.028,-81.485,0.80858,-0.15414,-12.0508,-4.2754,-0.0,12.0508,0.02721,90,True,24,24
0.83776,-0.15414,30.0,1,0.651,-34.073,63.421,0.83776,-0.15414,-11.8192,-4.044,-0.4357,11.8192,0.02824,90,True,24,24
