pose_idx,j1_deg,j2_deg,j3_deg,j4_deg,j2_fk_deg,j3_fk_deg,j4_fk_deg,j1_actual_deg,j2_actual_deg,j3_actual_deg,j4_actual_deg,position_error_deg,tau_j1_Nm,tau_j2_Nm,tau_j3_Nm,tau_j4_Nm,tau_j2_analytical,tau_j3_analytical,tau_j4_analytical,ee_x_m,ee_y_m,ee_z_m,j3_local_x_m,j3_local_z_m,j4_local_x_m,j4_local_z_m,ee_local_x_m,ee_local_z_m,chassis_roll_deg,chassis_pitch_deg,chassis_z_m,droll_deg,dpitch_deg,dz_chassis_m,max_hub_lift_m,physics_tipped,converged
0,98.624,92.912,-22.625,33.681,92.912,157.375,-146.319,98.593,92.943,-22.645,33.682,0.031,0.0000,-3.1207,-2.5360,-0.4601,3.1149,2.5368,0.4596,-0.109867,0.568902,0.066313,-0.018279,0.359403,-0.114429,0.091070,-0.144898,0.213576,180.000,0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
1,-22.004,-52.371,119.764,-5.781,-52.371,-60.236,174.219,-22.013,-52.356,119.861,-5.783,0.097,0.0001,5.4949,-1.4547,0.9023,-5.4864,1.4619,-0.9053,0.076287,0.459444,-0.584355,0.219717,-0.285007,0.110148,-0.548145,0.170165,-0.437086,180.000,0.000,-0.032928,-0.000,0.000,-0.000000,0.000000,False,True
2,129.095,169.451,72.095,13.047,169.451,-107.905,-166.953,129.093,169.449,72.044,13.048,0.052,-0.0048,-8.7467,2.4309,-0.5076,8.7600,-2.4281,0.5059,0.031737,0.641638,0.047478,-0.353785,0.065881,-0.217981,0.316489,-0.251517,0.194787,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
3,71.052,141.524,-67.548,53.000,141.524,112.452,-127.000,71.004,141.651,-67.618,53.002,0.128,-0.0157,-11.6930,-2.8223,-1.1394,11.7545,2.8452,1.1453,-0.280763,0.816691,-0.097215,-0.281727,0.223907,-0.360411,-0.050057,-0.436340,0.050794,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
4,-146.096,100.218,119.614,26.944,100.218,-60.386,-153.056,-146.120,100.140,119.587,26.945,0.078,-0.0004,1.9913,3.9859,-0.7558,-1.9592,-3.9781,0.7509,-0.165275,0.505469,0.273280,-0.063839,0.354160,0.155051,0.536736,0.105271,0.420728,180.000,0.000,-0.032928,-0.000,0.000,0.000000,0.000000,False,True
5,171.224,-109.930,109.715,10.716,-109.930,-70.285,-169.284,171.158,-109.762,109.874,10.712,0.168,0.0011,-8.1427,-4.2899,1.8712,8.1650,4.2857,-1.8723,0.178209,0.506931,-0.462739,-0.122669,-0.338315,-0.407706,-0.337245,-0.283582,-0.314238,180.000,-0.000,-0.032928,-0.000,-0.000,-0.000000,0.000001,False,True
6,94.010,-11.980,-40.508,11.841,-11.980,139.492,-168.159,94.059,-12.000,-40.345,11.838,0.163,0.0203,8.8550,-2.3148,1.4513,-8.8275,2.3050,-1.4447,-0.136904,0.148484,-0.078376,0.352029,-0.074700,0.178462,0.151400,0.274243,0.069170,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
7,102.983,-164.231,-76.202,-39.210,-164.231,103.798,140.790,102.884,-164.193,-76.200,-39.211,0.099,0.0012,-7.5917,3.3597,0.3179,7.5945,-3.3576,-0.3189,-0.091292,0.608335,-0.368604,-0.346323,-0.097800,-0.205671,-0.345719,-0.184526,-0.221265,180.000,-0.000,-0.032928,-0.000,-0.000,-0.000000,0.000001,False,True
8,-133.879,-124.456,65.698,-93.836,-124.456,-114.302,86.164,-133.828,-124.214,65.708,-93.833,0.242,-0.0012,-11.3101,-4.9060,-1.6877,11.3231,4.8844,1.6904,0.262130,0.122098,-0.260356,-0.203602,-0.296733,-0.351441,-0.053031,-0.463511,-0.111138,-180.000,-0.000,-0.032928,0.000,-0.000,0.000000,0.000000,False,True
9,-17.861,65.898,-129.689,-12.657,65.898,50.311,167.343,-17.851,65.950,-129.659,-12.658,0.052,-0.0007,2.3489,-2.2819,0.4502,-2.3740,2.2734,-0.4462,-0.034615,0.406256,0.314271,0.146958,0.328493,0.021074,0.584228,0.050655,0.461504,180.000,0.000,-0.032928,-0.000,0.000,-0.000000,0.000000,False,True
10,-46.513,88.114,-108.033,-57.083,88.114,71.967,122.917,-46.474,88.217,-108.040,-57.084,0.103,0.0037,-4.9970,-5.3590,0.4299,4.9869,5.3614,-0.4283,-0.219567,0.227755,0.186169,0.011841,0.359672,-0.256146,0.456781,-0.227752,0.333778,180.000,-0.000,-0.032928,-0.000,-0.000,-0.000000,0.000000,False,True
11,153.635,168.304,-177.350,-18.294,168.304,2.650,161.706,153.606,168.716,-177.346,-18.298,0.412,0.0011,-15.5689,-4.3961,1.6998,15.5341,4.3900,-1.6914,0.350359,0.698469,-0.091179,-0.352395,0.072955,-0.633888,0.117771,-0.521752,0.059793,-180.000,0.000,-0.032928,0.000,0.000,0.000000,0.000000,False,True
12,51.791,-62.703,103.293,70.681,-62.703,-76.707,-109.319,51.784,-62.629,103.350,70.682,0.074,-0.0098,-0.0476,-5.3514,-0.7068,0.1480,5.3671,0.6908,-0.181275,0.473068,-0.535224,0.165037,-0.319792,-0.051418,-0.505250,-0.097213,-0.387612,180.000,0.000,-0.032928,-0.000,0.000,0.000000,0.000001,False,True
13,116.194,-46.635,59.346,-53.212,-46.635,-120.654,126.788,116.235,-46.624,59.444,-53.215,0.097,0.0065,3.2280,-4.5586,1.4454,-3.2552,4.5592,-1.4479,-0.150766,0.375184,-0.553854,0.247103,-0.261619,-0.030950,-0.324341,0.065042,-0.406327,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
14,-20.371,-10.960,73.860,-88.339,-10.960,-106.140,91.661,-20.397,-11.087,73.894,-88.343,0.127,-0.0179,10.1176,-1.0807,1.7245,-10.0870,1.0858,-1.7195,0.231079,0.517869,-0.524379,0.353303,-0.068419,0.223454,-0.322163,0.337451,-0.376390,180.000,-0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
15,-98.194,-111.790,101.062,-43.723,-111.790,-78.938,136.277,-98.160,-111.554,101.175,-43.726,0.236,0.0241,-9.1729,-4.9591,1.1167,9.1679,4.9433,-1.1071,-0.000634,0.093506,-0.532826,-0.133587,-0.334154,-0.413644,-0.281096,-0.340249,-0.383806,-180.000,-0.000,-0.032927,0.000,-0.000,0.000001,0.000002,False,True
16,19.651,-133.228,-14.790,-41.281,-133.228,165.210,138.719,19.595,-133.168,-14.847,-41.277,0.060,-0.0033,-4.4448,3.3458,-1.8798,4.4503,-3.3442,1.8791,-0.226364,0.427954,-0.238327,-0.246475,-0.262210,-0.004700,-0.111241,-0.129279,-0.090841,180.000,0.000,-0.032928,-0.000,0.000,0.000000,0.000000,False,True
17,-157.026,-8.746,24.747,32.383,-8.746,-155.253,-147.617,-157.001,-8.808,24.819,32.381,0.072,0.0006,6.5917,-4.6550,1.2645,-6.5932,4.6548,-1.2646,-0.235562,0.511749,-0.186561,0.355682,-0.054721,0.081686,-0.133291,0.165526,-0.038914,180.000,0.000,-0.032928,-0.000,-0.000,0.000000,0.000000,False,True
18,117.947,-98.313,-129.673,11.406,-98.313,50.327,-168.594,118.022,-98.406,-129.834,11.410,0.161,-0.0003,0.9197,2.5793,-1.5247,-0.9473,-2.5926,1.5291,-0.139350,0.403193,-0.640177,-0.052028,-0.356086,0.138753,-0.567864,0.037380,-0.492634,-180.000,0.000,-0.032928,0.000,0.000,-0.000000,0.000000,False,True
19,47.399,61.133,-138.769,56.780,61.133,41.231,-123.220,47.325,61.069,-138.691,56.776,0.078,-0.0099,5.9635,0.4585,1.7799,-5.9550,-0.4608,-1.7794,0.045080,0.232913,0.401222,0.173736,0.315151,0.112703,0.593579,0.230670,0.548635,-180.000,-0.000,-0.032928,0.000,-0.000,-0.000000,0.000000,False,True
